t_s,wall_surface_F
0.0,87.78433205939896
0.1,242.32046248617152
0.2,304.17082088519294
0.3,349.4194742216105
0.4,386.17624882496597
0.5,417.56610118264723
0.6,445.1829716515631
0.7000000000000001,469.96862919537307
0.8,492.5334508170824
0.9,513.2992231916317
1.0,532.5715052400759
1.1,550.5798414526696
1.2,567.5017184393761
1.3,583.4776368255801
1.4000000000000001,598.6210211148349
1.5,613.024977513455
1.6,626.7670454598695
1.7,639.9126259925242
1.8,652.5175101691192
1.9000000000000001,664.6297786682369
2.0,676.2912515712691
2.1,687.5386097615292
2.2,698.4042723874385
2.3000000000000003,708.9170904314951
2.4,719.1028999205612
2.5,728.9849668848096
2.6,738.5843480892023
2.7,747.920185733093
2.8000000000000003,757.0099500364535
2.9,765.8696404496167
3.0,774.5139538250473
3.1,782.9564260642525
3.2,791.2095523527505
3.3000000000000003,799.284890012804
3.4,807.1931471638039
3.5,814.9442597235733
3.6,822.547458770489
3.7,830.0113298826452
3.8000000000000003,837.343865752465
3.9,844.5525131242651
4.0,851.6442149030397
4.1,858.625448126232
4.2,865.5022583635682
4.3,872.2802910108915
4.4,878.9648198637736
4.5,885.5607732923572
4.6000000000000005,892.0727582873773
4.7,898.5050826058332
4.8,904.8617752102533
4.9,911.146605168629
5.0,917.3630991590529
