t_s,wall_surface_F
0.0,120.99167662633761
0.1,760.1906835602291
0.2,1149.60227749672
0.3,1463.6236814994993
0.4,1721.2406587313951
0.5,1935.2273540400033
0.6,2114.6400945078108
0.7000000000000001,2266.154289705576
0.8,2394.839558442941
0.9,2504.6373831563615
1.0,2598.6701882742464
1.1,2679.449499753457
1.2,2749.020891072861
1.3,2809.06779939306
1.4000000000000001,2860.9876996699295
1.5,2905.949174703659
1.6,2944.9354558716514
1.7,2978.7781743919763
1.8,3008.1838927669787
1.9000000000000001,3033.755219960548
2.0,3056.007800563796
2.1,3075.384117119836
2.2,3092.2648000197464
2.3000000000000003,3106.9779658369835
2.4,3119.8069799643627
2.5,3130.996948128984
2.6,3140.760173780391
2.7,3149.2807676159946
2.8000000000000003,3156.7185571662953
2.9,3163.2124148780467
3.0,3168.8831003783826
3.1,3173.8356947562597
3.2,3178.161690664744
3.3000000000000003,3181.9407908976714
3.4,3185.242459121154
3.5,3188.127259190026
3.6,3190.6480136208675
3.7,3192.850806969244
3.8000000000000003,3194.775855884761
3.9,3196.4582643140825
4.0,3197.928679620947
4.1,3199.2138630427435
4.2,3200.3371860284315
4.3,3201.3190623510254
4.4,3202.1773244806027
4.5,3202.927551561499
4.6000000000000005,3203.5833553714137
4.7,3204.15662969352
4.8,3204.657767845035
4.9,3205.0958525198503
5.0,3205.478821469773
