t_s,wall_surface_F
0.0,76.73000000000005
0.25,712.8461738868041
0.5,1027.6834315651574
0.75,1242.7673609527228
1.0,1393.980228992209
1.25,1502.2184069287769
1.5,1580.6228855805107
1.75,1637.8819687850091
2.0,1679.9387011073181
2.25,1710.9558974022252
2.5,1733.899012400827
2.75,1750.9063681412415
3.0,1763.533545236322
3.25,1772.9195372241604
3.5,1779.9022912949313
3.75,1785.1004471537035
4.0,1788.9719234367271
4.25,1791.8563270061227
4.5,1794.005882019515
4.75,1795.6081136016608
5.0,1796.8025545798907
