t_s,wall_surface_F
0.0,268.0764557683724
0.1,1605.5913448452034
0.2,1871.9238702283692
0.3,2024.850101738797
0.4,2131.631199437459
0.5,2215.2084740327264
0.6,2285.7760218509197
0.7000000000000001,2348.222756745704
0.8,2404.983638027631
0.9,2457.327696691538
1.0,2505.9637223887294
1.1,2551.327854716703
1.2,2593.7206722159135
1.3,2633.3727804685705
1.4000000000000001,2670.476357333736
1.5,2705.200459569462
1.6,2737.698569665846
1.7,2768.112427656091
1.8,2796.574080166233
1.9000000000000001,2823.2070706211543
2.0,2848.1272124667194
2.1,2871.4431565418577
2.2,2893.2568532604287
2.3000000000000003,2913.66395740366
2.4,2932.754198087711
2.5,2950.611724490371
2.6,2967.3154322871287
2.7,2982.939273142073
2.8000000000000003,2997.5525484344485
2.9,3011.220187911981
3.0,3024.003013777502
3.1,3035.957990668782
3.2,3047.1384619959754
3.3000000000000003,3057.594373126173
3.4,3067.3724819269873
3.5,3076.5165571987945
3.6,3085.067565536477
3.7,3093.0638471670645
3.8000000000000003,3100.5412813039006
3.9,3107.5334415537245
4.0,3114.0717418998784
4.1,3120.185573770313
4.2,3125.9024346829465
4.3,3131.2480489432146
4.4,3136.246480846833
4.5,3140.920240823897
4.6000000000000005,3145.2903849374975
4.7,3149.3766081325625
4.8,3153.197331608969
4.9,3156.7697846727488
5.0,3160.1100814027945
