t_s,wall_surface_F
0.0,219.93457286540985
0.1,1417.2304968793824
0.2,1691.8882627546288
0.3,1855.2692152604322
0.4,1970.172172469872
0.5,2057.861925510031
0.6,2128.1745931223923
0.7000000000000001,2186.47009936654
0.8,2235.9880289902426
0.9,2278.8328644831663
1.0,2316.4466567137047
1.1,2349.859113416708
1.2,2379.830056990582
1.3,2406.9354066989026
1.4000000000000001,2431.6215547936945
1.5,2454.2411054545382
1.6,2475.0771373088055
1.7,2494.3601359734316
1.8,2512.280096277049
1.9000000000000001,2528.9953540694933
2.0,2544.639150734639
2.1,2559.324592667238
2.2,2573.1484532212007
2.3000000000000003,2586.1941258406287
2.4,2598.533945313663
2.5,2610.231032163175
2.6,2621.3407726264363
2.7,2631.912016933631
2.8000000000000003,2641.9880574975314
2.9,2651.60743345384
3.0,2660.8045969412497
3.1,2669.6104683681724
3.2,2678.052901848628
3.3000000000000003,2686.157077424486
3.4,2693.945833223679
3.5,2701.439948042533
3.6,2708.6583827821823
3.7,2715.6184875612234
3.8000000000000003,2722.3361800629323
3.9,2728.826099671785
4.0,2735.101741153082
4.1,2741.175570984585
4.2,2747.0591289270947
4.3,2752.763116995123
4.4,2758.2974776409746
4.5,2763.6714626770913
4.6000000000000005,2768.8936942254836
4.7,2773.9722187841626
4.8,2778.9145553367503
4.9,2783.7277382927664
5.0,2788.4183559309386
