t_s,wall_surface_F
0.0,245.96185520721693
0.1,1395.8621771623223
0.2,1617.5152016762624
0.3,1743.2187167621237
0.4,1828.986319477451
0.5,1893.1345719749559
0.6,1944.0648415532328
0.7000000000000001,1986.3747416269725
0.8,2022.8251452785105
0.9,2055.151033435855
1.0,2084.467730560592
1.1,2111.502288169103
1.2,2136.734498645991
1.3,2160.4855251569834
1.4000000000000001,2182.974338675366
1.5,2204.3538504384724
1.6,2224.7340997910596
1.7,2244.1971537938216
1.8,2262.806690466158
1.9000000000000001,2280.61416900107
2.0,2297.662807684761
2.1,2313.990153012591
2.2,2329.6297430932404
2.3000000000000003,2344.61218852559
2.4,2358.965878437922
2.5,2372.7174452125555
2.6,2385.892073766
2.7,2398.513710624028
2.8000000000000003,2410.6052083334857
2.9,2422.1884280874283
3.0,2433.2843152774813
3.1,2443.912957444102
3.2,2454.093630714958
3.3000000000000003,2463.8448386444916
3.4,2473.1843459683087
3.5,2482.1292088831988
3.6,2490.695802886829
3.7,2498.899848834736
3.8000000000000003,2506.756437637911
3.9,2514.2800538670913
4.0,2521.4845984370013
4.1,2528.3834104785383
4.2,2534.989288470213
4.3,2541.314510674093
4.4,2547.3708549085213
4.5,2553.169617680485
4.6000000000000005,2558.7216326922185
4.7,2564.037288740466
4.8,2569.126547017149
4.9,2573.9989578269538
5.0,2578.6636767313075
