t_s,wall_surface_F
0.0,234.23873836250323
0.1,1448.2408861429926
0.2,1716.1539773515706
0.3,1887.5592565496438
0.4,2025.6074055529673
0.5,2145.836160848718
0.6,2252.9396545402174
0.7000000000000001,2348.9469692547764
0.8,2435.1597417226344
0.9,2512.6221718833885
1.0,2582.2415228838863
1.1,2644.8243834575032
1.2,2701.092139187515
1.3,2751.6908987132506
1.4000000000000001,2797.1995455515853
1.5,2838.13680984013
1.6,2874.967598401545
1.7,2908.108673193586
1.8,2937.9337377117504
1.9000000000000001,2964.7779852419203
2.0,2988.9421608217463
2.1,3010.6961862277667
2.2,3030.282393946619
2.3000000000000003,3047.918412244123
2.4,3063.7997394765885
2.5,3078.102041898031
2.6,3090.9832055615652
2.7,3102.5851695448277
2.8000000000000003,3113.035564672945
2.9,3122.449179166388
3.0,3130.9292702076045
3.1,3138.5687382391447
3.2,3145.4511789007843
3.3000000000000003,3151.651825808315
3.4,3157.238395891838
3.5,3162.2718476911923
3.6,3166.8070618432516
3.7,3170.89345197425
3.8000000000000003,3174.575513305167
3.9,3177.893315475293
4.0,3180.882945391021
4.1,3183.5769052680466
4.2,3186.004470495002
4.3,3188.1920114423615
4.4,3190.163282910363
4.5,3191.939684519925
4.6000000000000005,3193.5404950006205
4.7,3194.983083027943
4.8,3196.2830969834163
4.9,3197.454635764395
5.0,3198.510402556455
