t_s,wall_surface_F
0.0,216.16352177269422
0.1,1263.659471201681
0.2,1485.745897689203
0.3,1616.083416325098
0.4,1709.7549424723234
0.5,1785.538795299354
0.6,1851.2740655648759
0.7000000000000001,1910.4350024613202
0.8,1964.6522808606878
0.9,2014.7646134744468
1.0,2061.264443877197
1.1,2104.4879311746513
1.2,2144.696401010763
1.3,2182.1115793095987
1.4000000000000001,2216.9310875247706
1.5,2249.3354830933304
1.6,2279.4916654503245
1.7,2307.55471060198
1.8,2333.6690179358543
1.9000000000000001,2357.9691476180506
2.0,2380.580510229377
2.1,2401.619977454585
2.2,2421.1964430149883
2.3000000000000003,2439.4113462665823
2.4,2456.3591639075685
2.5,2472.1278724276717
2.6,2486.799382866391
2.7,2500.4499490951857
2.8000000000000003,2513.150550751251
2.9,2524.967251967045
3.0,2535.961537059916
3.1,2546.1906243665353
3.2,2555.70775941206
3.3000000000000003,2564.5624885865677
3.4,2572.800914480151
3.5,2580.465933990968
3.6,2587.597460278816
3.7,2594.2326295886623
3.8000000000000003,2600.405993923746
3.9,2606.1497004904895
4.0,2611.493658790582
4.1,2616.4656961875344
4.2,2621.0917027181144
4.3,2625.3957658808304
4.4,2629.4002960799507
4.5,2633.1261433654918
4.6000000000000005,2636.5927060654817
4.7,2639.8180318684063
4.8,2642.8189118758983
4.9,2645.610968112271
5.0,2648.2087349433104
