Conv_Angle,deg,65.000deg
d_t,mm,8.953mm
d_ox,mm,1.802mm
d_f,mm,2.577mm
d_c,mm,22.826mm
L_c,mm,56.850mm
L_conv,mm,7.654mm
t_wall,in,0.900in
